Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.;;;;;
08/05/2024;903,02;895;911,64;895;21,74M;-0,0028;;;;;
07/05/2024;905,54;910,98;917,32;890,15;42,51M;-0,0171;;;62,39%;;2878,30%
06/05/2024;921,28;893,5;922,01;891,54;35,37M;0,0377;;;;;
03/05/2024;887,84;876,6;892,75;871,12;37,74M;0,0346;;;;;
02/05/2024;858,17;844,49;862,37;832;37,79M;0,0334;;;;;
01/05/2024;830,41;850,77;860;812,55;55,99M;-0,0389;;;;;
30/04/2024;864,02;872,4;888,19;863;36,37M;-0,0154;;;;;
29/04/2024;877,57;876,49;879,48;852,89;38,49M;0,0003;;;;;
26/04/2024;877,35;838,18;883,31;833,87;55,10M;0,0618;;;;;
25/04/2024;826,32;788,68;833,23;782,23;42,46M;0,0371;;;;;
24/04/2024;796,77;839,5;840,82;791,83;51,22M;-0,0333;;;;;
23/04/2024;824,23;807,69;827,69;802,64;43,86M;0,0365;;;;;
22/04/2024;795,18;781,04;800,73;764;59,30M;0,0435;;;;;
19/04/2024;762;831,5;843,24;756,06;87,52M;-0,1;;;;;
18/04/2024;846,71;849,7;861,9;824,02;44,73M;0,0076;;;;;
17/04/2024;840,35;883,4;887,75;839,5;49,54M;-0,0387;;;;;
16/04/2024;874,15;864,33;881,18;860,64;37,05M;0,0164;;;;;
15/04/2024;860,01;891;906,13;859,29;43,31M;-0,0248;;;;;
12/04/2024;881,86;896,99;901,75;875,3;42,68M;-0,0268;;;;;
11/04/2024;906,16;874,2;907,39;869,26;43,16M;0,0411;;;;;
10/04/2024;870,39;839,26;874;837,09;43,19M;0,0197;;;;;
09/04/2024;853,54;874,42;876,35;830,22;50,35M;-0,0204;;;;;
08/04/2024;871,33;887;888,3;867,32;27,91M;-0,0099;;;;;
05/04/2024;880,08;868,66;884,81;859,26;39,97M;0,0245;;;;;
04/04/2024;859,05;904,06;906,34;858,8;43,50M;-0,0344;;;;;
03/04/2024;889,64;884,84;903,74;884;37,01M;-0,0055;;;;;
02/04/2024;894,52;884,48;900,94;876,2;43,31M;-0,0101;;;;;
01/04/2024;903,63;902,99;922,25;892,04;44,81M;0,0001;;;;;
28/03/2024;903,56;900;913;891,93;43,52M;0,0012;;;;;
27/03/2024;902,5;931,12;932,4;891,23;58,61M;-0,025;;;;;
26/03/2024;925,61;958,51;963,75;925,02;51,36M;-0,0257;;;;;
25/03/2024;950,02;939,41;967,66;935,1;55,21M;0,0076;;;;;
22/03/2024;942,89;911,41;947,78;908,34;58,67M;0,0312;;;;;
21/03/2024;914,35;923;926,48;904,05;48,04M;0,0118;;;;;
20/03/2024;903,72;897,97;904,1;882,23;46,94M;0,0109;;;;;
19/03/2024;893,98;867;905,44;850,1;66,62M;0,0107;;;;;
18/03/2024;884,55;903,88;924,05;870,85;64,57M;0,007;;;;;
15/03/2024;878,36;869,3;895,46;862,57;63,15M;-0,0012;;;;;
14/03/2024;879,44;895,77;906,46;866;59,71M;-0,0324;;;;;
13/03/2024;908,88;910,55;915,04;884,35;62,73M;-0,0112;;;;;
12/03/2024;919,13;880,49;919,6;861,5;65,44M;0,0716;;;;;
11/03/2024;857,74;864,29;887,97;841,66;67,84M;-0,02;;;;;
08/03/2024;875,28;951,38;974;865,06;114,23M;-0,0555;;;;;
07/03/2024;926,69;901,58;927,67;896,02;58,67M;0,0447;;;;;
06/03/2024;887;880,22;897,24;870,3;57,49M;0,0318;;;;;
05/03/2024;859,64;852,7;860,97;834,17;51,46M;0,0085;;;;;
04/03/2024;852,37;841,3;876,95;837,19;60,68M;0,036;;;;;
01/03/2024;822,79;800;823;794,35;47,91M;0,04;;;;;
29/02/2024;791,12;790,94;799,9;783,5;49,88M;0,0187;;;;;
28/02/2024;776,63;776,2;789,33;771,25;37,95M;-0,0132;;;;;
27/02/2024;787,01;793,81;794,8;771,62;38,94M;-0,0049;;;;;
26/02/2024;790,92;797;806,46;785,05;49,90M;0,0035;;;;;
23/02/2024;788,17;807,9;823,94;775,7;82,94M;0,0036;;;;;
22/02/2024;785,38;750,25;785,75;742,2;84,53M;0,164;;;;;
21/02/2024;674,72;680,06;688,88;662,48;58,24M;-0,0285;;;;;
20/02/2024;694,52;719,47;719,56;677,34;69,56M;-0,0435;;;;;
16/02/2024;726,13;741;744,02;725,01;49,53M;-0,0006;;;;;
15/02/2024;726,58;738,69;739,75;724;41,55M;-0,0168;;;;;
14/02/2024;739;732,02;742,36;719,38;50,08M;0,0246;;;;;
13/02/2024;721,28;704;734,5;696,2;59,78M;-0,0017;;;;;
12/02/2024;722,48;726;746,11;712,5;61,02M;0,0016;;;;;
09/02/2024;721,33;705,33;721,85;702,12;43,66M;0,0358;;;;;
08/02/2024;696,41;700,74;707,94;694,55;41,11M;-0,0065;;;;;
07/02/2024;700,99;683,19;702,2;676;48,49M;0,0275;;;;;
06/02/2024;682,23;696,3;697,54;663;68,31M;-0,016;;;;;
05/02/2024;693,32;682,25;694,97;672,05;67,05M;0,0479;;;;;
02/02/2024;661,6;639,74;666;636,9;47,66M;0,0497;;;;;
01/02/2024;630,27;621;631,91;616,5;36,02M;0,0244;;;;;
31/01/2024;615,27;614,4;622,69;607;45,07M;-0,0199;;;;;
30/01/2024;627,74;629;634,93;622,6;39,60M;0,0049;;;;;
29/01/2024;624,65;612,32;624,89;609,07;33,90M;0,0235;;;;;
26/01/2024;610,31;609,6;617,83;605,73;39,03M;-0,0095;;;;;
25/01/2024;616,17;623,5;627,19;608,5;47,31M;0,0042;;;;;
