"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"02.04.2024","6.402,54","6.523,71","6.523,71","6.364,42","","-1,86%"
"01.04.2024","6.523,71","6.358,41","6.523,71","6.358,41","","2,60%"
"29.03.2024","6.358,41","6.370,64","6.370,64","6.257,76","","-0,19%"
"28.03.2024","6.370,64","6.219,80","6.444,81","6.219,80","","2,43%"
"27.03.2024","6.219,80","6.425,41","6.425,41","6.219,80","","-3,20%"
"26.03.2024","6.425,41","6.508,89","6.577,86","6.394,18","","-1,28%"
"25.03.2024","6.508,89","6.648,50","6.673,34","6.507,21","","-2,10%"
"22.03.2024","6.648,50","6.727,05","6.751,59","6.618,05","","-1,17%"
"21.03.2024","6.727,05","6.754,09","6.863,05","6.726,59","","-0,40%"
"20.03.2024","6.754,09","6.722,78","6.758,86","6.666,54","","0,47%"
"19.03.2024","6.722,78","6.794,38","6.816,76","6.722,78","","-1,05%"
"18.03.2024","6.794,38","6.627,25","6.795,32","6.627,25","","2,52%"
"15.03.2024","6.627,25","6.595,40","6.631,61","6.498,71","","0,48%"
"14.03.2024","6.595,40","6.704,23","6.704,23","6.528,37","","-1,62%"
"13.03.2024","6.704,23","6.708,78","6.788,65","6.687,98","","-0,07%"
"12.03.2024","6.708,78","6.716,35","6.804,79","6.675,83","","-0,11%"
"11.03.2024","6.716,35","6.618,25","6.716,35","6.545,87","","1,48%"
"08.03.2024","6.618,25","6.473,21","6.638,06","6.473,21","","2,24%"
"07.03.2024","6.473,21","6.623,69","6.684,07","6.473,21","","-2,27%"
"06.03.2024","6.623,69","6.688,38","6.689,79","6.534,53","","-0,97%"
"05.03.2024","6.688,38","6.694,17","6.764,52","6.631,56","","-0,09%"
"04.03.2024","6.694,17","6.658,24","6.746,48","6.590,67","","0,54%"
"01.03.2024","6.658,24","6.470,56","6.673,88","6.470,56","","2,90%"
"29.02.2024","6.470,56","6.153,53","6.470,56","6.153,53","","5,15%"
"28.02.2024","6.153,53","6.396,98","6.515,01","6.153,53","","-3,81%"
"27.02.2024","6.396,98","6.129,46","6.396,98","6.078,53","","4,36%"
"26.02.2024","6.129,46","6.098,56","6.207,38","6.080,81","","0,51%"
"23.02.2024","6.098,56","6.067,41","6.104,71","6.016,97","","0,51%"
"22.02.2024","6.067,41","5.963,72","6.104,08","5.963,72","","1,74%"
"21.02.2024","5.963,72","5.954,18","6.085,01","5.865,87","","0,16%"
"20.02.2024","5.954,18","5.995,41","5.995,41","5.873,71","","-0,69%"
"19.02.2024","5.995,41","5.851,69","5.995,41","5.851,69","","2,46%"
"08.02.2024","5.851,69","5.703,37","5.949,28","5.703,37","","2,60%"
"07.02.2024","5.703,37","5.554,16","5.740,32","5.540,23","","2,69%"
"06.02.2024","5.554,16","5.197,71","5.556,30","5.164,65","","6,86%"
"05.02.2024","5.197,71","5.273,74","5.331,12","4.949,78","","-1,44%"
"02.02.2024","5.273,74","5.468,86","5.508,20","5.116,72","","-3,57%"
"01.02.2024","5.468,86","5.378,55","5.578,41","5.340,76","","1,68%"
"31.01.2024","5.378,55","5.558,85","5.558,85","5.378,55","","-3,24%"
"30.01.2024","5.558,85","5.739,85","5.754,05","5.553,24","","-3,15%"
"29.01.2024","5.739,85","5.906,41","5.951,99","5.739,85","","-2,82%"
"26.01.2024","5.906,41","6.056,19","6.056,19","5.900,78","","-2,47%"
"25.01.2024","6.056,19","5.929,50","6.073,96","5.873,37","","2,14%"
"24.01.2024","5.929,50","5.924,94","5.945,20","5.732,47","","0,08%"
"23.01.2024","5.924,94","5.820,33","5.957,55","5.755,30","","1,80%"
"22.01.2024","5.820,33","6.036,62","6.036,62","5.772,57","","-3,58%"
"19.01.2024","6.036,62","6.089,35","6.122,17","6.031,22","","-0,87%"
"18.01.2024","6.089,35","5.988,30","6.092,09","5.881,60","","1,69%"
"17.01.2024","5.988,30","6.134,53","6.134,53","5.988,30","","-2,38%"
"16.01.2024","6.134,53","6.141,64","6.153,31","6.041,81","","-0,12%"
"15.01.2024","6.141,64","6.146,40","6.220,81","6.097,41","","-0,08%"
"12.01.2024","6.146,40","6.223,98","6.227,24","6.146,40","","-1,25%"
"11.01.2024","6.223,98","6.120,85","6.249,59","6.120,85","","1,68%"
"10.01.2024","6.120,85","6.183,46","6.213,80","6.074,13","","-1,01%"
"09.01.2024","6.183,46","6.208,40","6.268,20","6.137,38","","-0,40%"
"08.01.2024","6.208,40","6.376,08","6.379,88","6.208,40","","-2,63%"
"05.01.2024","6.376,08","6.465,79","6.503,48","6.339,28","","-1,39%"
"04.01.2024","6.465,79","6.563,72","6.563,72","6.438,30","","-1,49%"
"03.01.2024","6.563,72","6.699,94","6.699,94","6.525,11","","-2,03%"
"02.01.2024","6.699,94","6.826,08","6.826,08","6.699,94","","-1,85%"
"29.12.2023","6.826,08","6.760,14","6.832,58","6.755,63","","0,98%"
"28.12.2023","6.760,14","6.588,90","6.789,08","6.564,67","","2,60%"
"27.12.2023","6.588,90","6.515,49","6.618,56","6.515,49","","1,13%"
"26.12.2023","6.515,49","6.656,48","6.656,48","6.487,05","","-2,12%"
"25.12.2023","6.656,48","6.644,91","6.692,99","6.621,50","","0,17%"
"22.12.2023","6.644,91","6.733,25","6.733,25","6.622,03","","-1,31%"
"21.12.2023","6.733,25","6.670,37","6.776,58","6.628,14","","0,94%"
"20.12.2023","6.670,37","6.804,44","6.804,44","6.669,24","","-1,97%"
"19.12.2023","6.804,44","6.745,59","6.855,28","6.729,91","","0,87%"
"18.12.2023","6.745,59","6.832,11","6.832,11","6.728,75","","-1,27%"
"15.12.2023","6.832,11","6.887,30","6.925,90","6.819,90","","-0,80%"
"14.12.2023","6.887,30","6.919,03","7.004,08","6.885,10","","-0,46%"
"13.12.2023","6.919,03","7.001,44","7.026,03","6.919,03","","-1,18%"
"12.12.2023","7.001,44","7.025,13","7.037,13","6.966,34","","-0,34%"
"11.12.2023","7.025,13","6.932,31","7.034,54","6.831,67","","1,34%"
"08.12.2023","6.932,31","6.764,01","6.939,23","6.764,01","","2,49%"
"07.12.2023","6.764,01","6.770,35","6.804,14","6.703,48","","-0,09%"
"06.12.2023","6.770,35","6.763,31","6.813,56","6.737,76","","0,10%"
"05.12.2023","6.763,31","6.946,57","6.946,57","6.763,31","","-2,64%"
"04.12.2023","6.946,57","6.967,73","7.019,86","6.946,57","","-0,30%"
"01.12.2023","6.967,73","6.902,96","6.981,47","6.854,08","","0,94%"
