"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"02.04.2024","31.846,27","31.161,82","31.847,21","31.161,82","","2,20%"
"01.04.2024","31.161,82","31.501,04","31.621,05","31.137,55","","-1,08%"
"29.03.2024","31.501,04","31.166,27","31.584,64","31.166,27","","1,07%"
"28.03.2024","31.166,27","31.261,80","31.294,65","30.927,84","","-0,31%"
"27.03.2024","31.261,80","31.202,14","31.420,96","31.126,76","","0,19%"
"26.03.2024","31.202,14","31.322,28","31.722,53","30.935,99","","-0,38%"
"25.03.2024","31.322,28","31.507,72","31.578,97","31.311,68","","-0,59%"
"22.03.2024","31.507,72","31.437,64","31.621,16","31.175,99","","0,22%"
"21.03.2024","31.437,64","30.640,22","31.440,13","30.640,22","","2,60%"
"20.03.2024","30.640,22","30.766,20","31.123,22","30.486,00","","-0,41%"
"19.03.2024","30.766,20","30.850,84","30.882,48","30.549,21","","-0,27%"
"18.03.2024","30.850,84","30.382,57","30.871,89","30.382,57","","1,54%"
"15.03.2024","30.382,57","30.969,99","30.969,99","30.367,65","","-1,90%"
"14.03.2024","30.969,99","31.028,73","31.100,51","30.588,94","","-0,19%"
"13.03.2024","31.028,73","30.918,86","31.452,82","30.915,92","","0,36%"
"12.03.2024","30.918,86","30.621,79","30.936,61","30.380,13","","0,97%"
"11.03.2024","30.621,79","30.964,63","30.964,63","30.433,40","","-1,11%"
"08.03.2024","30.964,63","30.508,31","31.584,42","30.508,31","","1,50%"
"07.03.2024","30.508,31","29.852,08","30.769,55","29.852,08","","2,20%"
"06.03.2024","29.852,08","29.620,38","29.930,27","29.227,38","","0,78%"
"05.03.2024","29.620,38","29.408,66","29.805,64","29.408,66","","0,72%"
"04.03.2024","29.408,66","28.367,68","29.442,26","28.367,68","","3,67%"
"01.03.2024","28.367,68","28.401,96","28.634,27","28.335,36","","-0,12%"
"29.02.2024","28.401,96","28.440,46","28.587,39","28.236,11","","-0,14%"
"27.02.2024","28.440,46","28.548,26","28.702,95","28.213,04","","-0,38%"
"26.02.2024","28.548,26","28.471,09","28.613,88","28.342,77","","0,27%"
"23.02.2024","28.471,09","28.253,84","28.655,20","28.253,84","","0,77%"
"22.02.2024","28.253,84","27.828,15","28.339,76","27.828,15","","1,53%"
"21.02.2024","27.828,15","28.071,96","28.071,96","27.758,23","","-0,87%"
"20.02.2024","28.071,96","27.766,36","28.076,70","27.691,00","","1,10%"
"19.02.2024","27.766,36","27.902,20","27.902,20","27.674,73","","-0,49%"
"16.02.2024","27.902,20","28.267,09","28.305,03","27.890,97","","-1,29%"
"15.02.2024","28.267,09","26.776,64","28.538,20","26.776,64","","5,57%"
"05.02.2024","26.776,64","26.523,21","26.803,22","26.518,97","","0,96%"
"02.02.2024","26.523,21","26.258,77","26.523,29","26.258,77","","1,01%"
"01.02.2024","26.258,77","26.278,24","26.278,24","25.976,55","","-0,07%"
"31.01.2024","26.278,24","26.668,18","26.668,18","26.223,56","","-1,46%"
"30.01.2024","26.668,18","26.740,39","26.826,76","26.622,28","","-0,27%"
"29.01.2024","26.740,39","26.552,81","26.741,12","26.551,80","","0,71%"
"26.01.2024","26.552,81","26.630,84","26.677,26","26.478,97","","-0,29%"
"25.01.2024","26.630,84","26.206,66","26.636,62","26.206,66","","1,62%"
"24.01.2024","26.206,66","26.257,67","26.333,30","26.177,30","","-0,19%"
"23.01.2024","26.257,67","26.199,14","26.321,88","26.078,41","","0,22%"
"22.01.2024","26.199,14","25.974,03","26.343,85","25.974,03","","0,87%"
"19.01.2024","25.974,03","24.799,45","25.974,03","24.799,45","","4,74%"
"18.01.2024","24.799,45","24.606,51","24.887,28","24.606,51","","0,78%"
"17.01.2024","24.606,51","24.755,90","24.851,07","24.540,48","","-0,60%"
"16.01.2024","24.755,90","24.943,68","24.985,27","24.675,83","","-0,75%"
"15.01.2024","24.943,68","24.897,76","25.143,61","24.897,76","","0,18%"
"12.01.2024","24.897,76","24.943,75","25.015,75","24.778,20","","-0,18%"
"11.01.2024","24.943,75","24.815,84","25.025,55","24.815,84","","0,52%"
"10.01.2024","24.815,84","24.878,96","24.880,27","24.700,06","","-0,25%"
"09.01.2024","24.878,96","24.797,80","25.090,03","24.797,80","","0,33%"
"08.01.2024","24.797,80","24.676,16","24.969,87","24.676,16","","0,49%"
"05.01.2024","24.676,16","24.786,41","24.850,16","24.627,74","","-0,44%"
"04.01.2024","24.786,41","24.805,81","24.894,06","24.696,92","","-0,08%"
"03.01.2024","24.805,81","25.380,12","25.380,12","24.734,84","","-2,26%"
"02.01.2024","25.380,12","25.574,95","25.605,13","25.242,83","","-0,76%"
"29.12.2023","25.574,95","25.517,32","25.594,57","25.441,65","","0,23%"
"28.12.2023","25.517,32","25.528,31","25.615,74","25.413,27","","-0,04%"
"27.12.2023","25.528,31","25.242,71","25.552,94","25.242,71","","1,13%"
"26.12.2023","25.242,71","25.016,71","25.243,95","25.016,71","","0,90%"
"25.12.2023","25.016,71","24.966,35","25.134,34","24.966,35","","0,20%"
"22.12.2023","24.966,35","24.782,20","24.979,37","24.782,20","","0,74%"
"21.12.2023","24.782,20","24.986,36","24.986,36","24.629,02","","-0,82%"
"20.12.2023","24.986,36","24.877,71","25.015,81","24.877,71","","0,44%"
"19.12.2023","24.877,71","24.918,53","24.993,47","24.698,57","","-0,16%"
"18.12.2023","24.918,53","24.939,28","24.953,34","24.684,75","","-0,08%"
"15.12.2023","24.939,28","24.897,53","25.042,21","24.832,00","","0,17%"
"14.12.2023","24.897,53","24.631,43","24.901,44","24.631,43","","1,08%"
"13.12.2023","24.631,43","24.523,55","24.646,31","24.502,63","","0,44%"
"12.12.2023","24.523,55","24.410,23","24.630,35","24.410,23","","0,46%"
"11.12.2023","24.410,23","24.296,16","24.435,13","24.296,16","","0,47%"
"08.12.2023","24.296,16","24.089,61","24.488,47","24.089,61","","0,86%"
"07.12.2023","24.089,61","24.188,76","24.276,24","24.084,65","","-0,41%"
"06.12.2023","24.188,76","24.155,61","24.343,80","24.145,77","","0,14%"
"05.12.2023","24.155,61","24.325,97","24.325,97","24.022,61","","-0,70%"
